Campus,Measure Name,GPA,Results
Berkeley,App GPA,4.006756757,0
Berkeley,Enrl GPA,3.916551724,1
Berkeley,Adm GPA,4.09,1
Berkeley,App GPA,3.927,0
Berkeley,Enrl GPA,4.123333333,1
Berkeley,App GPA,3.978390805,0
Berkeley,Adm GPA,4.108333333,1
Berkeley,App GPA,3.92625,0
Berkeley,Adm GPA,4.232,1
Berkeley,Adm GPA,4.134,1
Berkeley,Adm GPA,4.25125,1
Berkeley,App GPA,3.503333333,0
Berkeley,App GPA,3.8525,0
Berkeley,Adm GPA,4.096666667,1
Berkeley,Adm GPA,3.698333333,1
Berkeley,App GPA,3.9225,0
Berkeley,App GPA,3.71,0
Berkeley,Enrl GPA,4.0525,1
Berkeley,App GPA,3.684590164,0
Berkeley,App GPA,3.886666667,0
Berkeley,App GPA,3.75,0
Berkeley,Enrl GPA,4.0075,1
Berkeley,App GPA,3.724,0
Berkeley,App GPA,3.523333333,0
Berkeley,Enrl GPA,4.147142857,1
Berkeley,App GPA,3.943809524,0
Berkeley,App GPA,3.476153846,0
Berkeley,App GPA,3.854210526,0
Berkeley,App GPA,3.687142857,0
Berkeley,App GPA,4.075,0
Berkeley,App GPA,3.918636364,0
Berkeley,App GPA,3.712040816,0
Berkeley,App GPA,4.088,0
Berkeley,App GPA,3.974262295,0
Berkeley,App GPA,3.881538462,0
Berkeley,App GPA,3.631538462,0
Berkeley,App GPA,3.787297297,0
Berkeley,Adm GPA,4.264,1
Berkeley,Adm GPA,4.081666667,1
Berkeley,Adm GPA,4.244,1
Berkeley,App GPA,3.6105,0
Berkeley,App GPA,3.771818182,0
Berkeley,App GPA,3.733414634,0
Berkeley,App GPA,3.88125,0
Berkeley,Adm GPA,4.158666667,1
Berkeley,Enrl GPA,3.722857143,1
Berkeley,App GPA,3.852,0
Berkeley,Adm GPA,4.312,1
Berkeley,Adm GPA,4.170952381,1
Berkeley,Adm GPA,4.183571429,1
Berkeley,Adm GPA,4.198888889,1
Berkeley,Adm GPA,4.0425,1
Berkeley,App GPA,4.087272727,0
Berkeley,Adm GPA,4.183529412,1
Berkeley,App GPA,3.722857143,0
Berkeley,Adm GPA,3.86,1
Berkeley,App GPA,3.542857143,0
Berkeley,App GPA,3.902631579,0
Berkeley,App GPA,3.674545455,0
Berkeley,Adm GPA,4.257307692,1
Berkeley,App GPA,3.824814815,0
Berkeley,App GPA,3.920820189,0
Berkeley,Enrl GPA,4.286,1
Berkeley,Adm GPA,4.160909091,1
Berkeley,App GPA,3.93875,0
Berkeley,Enrl GPA,4.258333333,1
Berkeley,Adm GPA,4.198222222,1
Berkeley,App GPA,3.730625,0
Berkeley,Adm GPA,4.2,1
Berkeley,Adm GPA,4.044,1
Berkeley,App GPA,3.738461538,0
Berkeley,App GPA,3.814375,0
Berkeley,App GPA,3.432,0
Berkeley,App GPA,3.714,0
Berkeley,Adm GPA,4.039047619,1
Berkeley,App GPA,3.82,0
Berkeley,Adm GPA,4.105555556,1
Berkeley,Adm GPA,4.184285714,1
Berkeley,Adm GPA,4.2525,1
Berkeley,Enrl GPA,4.22,1
Berkeley,App GPA,3.890967742,0
Berkeley,Enrl GPA,4.208571429,1
Berkeley,Adm GPA,4.183333333,1
Berkeley,App GPA,3.756666667,0
Berkeley,App GPA,3.918181818,0
Berkeley,App GPA,3.866666667,0
Berkeley,Enrl GPA,4.203,1
Berkeley,Adm GPA,4.184,1
Berkeley,App GPA,3.895,0
Berkeley,App GPA,3.681538462,0
Berkeley,App GPA,3.718571429,0
Berkeley,App GPA,3.721315789,0
Berkeley,App GPA,3.968,0
Berkeley,Adm GPA,4.2,1
Berkeley,App GPA,3.9845,0
Berkeley,App GPA,3.93,0
Berkeley,App GPA,3.37,0
Berkeley,Adm GPA,4.275555556,1
Berkeley,App GPA,4.00625,0
Berkeley,Enrl GPA,4.306,1
Berkeley,Adm GPA,4.0115,1
Berkeley,Adm GPA,4.198333333,1
Berkeley,Enrl GPA,4.101428571,1
Berkeley,Adm GPA,4.099130435,1
Berkeley,App GPA,3.807878788,0
Berkeley,Enrl GPA,4.188571429,1
Berkeley,Adm GPA,4.198888889,1
Berkeley,App GPA,3.81,0
Berkeley,Adm GPA,3.813232323,1
Berkeley,App GPA,3.914375,0
Berkeley,App GPA,3.509285714,0
Berkeley,App GPA,3.971666667,0
Berkeley,App GPA,3.955,0
Berkeley,App GPA,3.976,0
Berkeley,Adm GPA,4.177678571,1
Berkeley,Adm GPA,3.97,1
Berkeley,App GPA,3.65,0
Berkeley,App GPA,3.800526316,0
Berkeley,App GPA,3.965714286,0
Berkeley,App GPA,4.11,0
Berkeley,App GPA,3.980243902,0
Berkeley,App GPA,4.002142857,0
Berkeley,App GPA,3.678846154,0
Berkeley,Enrl GPA,4.226666667,1
Berkeley,Adm GPA,4.102,1
Berkeley,App GPA,3.878888889,0
Berkeley,Adm GPA,4.215,1
Berkeley,App GPA,3.931369863,0
Berkeley,App GPA,3.941724138,0
Berkeley,App GPA,4.03173913,0
Berkeley,App GPA,3.855757576,0
Berkeley,App GPA,3.810625,0
Berkeley,Adm GPA,4.076,1
Berkeley,App GPA,3.644054054,0
Berkeley,Adm GPA,4.244117647,1
Berkeley,Enrl GPA,3.924,1
Berkeley,App GPA,3.991630901,0
Berkeley,Enrl GPA,4.114285714,1
Berkeley,App GPA,3.850869565,0
Berkeley,Enrl GPA,4.108666667,1
Berkeley,App GPA,3.644736842,0
Berkeley,App GPA,3.717272727,0
Berkeley,App GPA,3.903741007,0
Berkeley,App GPA,3.963636364,0
Berkeley,Adm GPA,4.0065,1
Berkeley,App GPA,3.69,0
Berkeley,Enrl GPA,4.189090909,1
Berkeley,Adm GPA,4.255,1
Berkeley,App GPA,3.71862069,0
Berkeley,App GPA,3.738181818,0
Berkeley,Adm GPA,4.134166667,1
Berkeley,Adm GPA,4.067826087,1
Berkeley,Enrl GPA,4.21,1
Berkeley,App GPA,3.503125,0
Berkeley,App GPA,3.68021978,0
Berkeley,App GPA,3.9003125,0
Berkeley,App GPA,3.580526316,0
Berkeley,App GPA,3.827,0
Berkeley,App GPA,3.984444444,0
Berkeley,App GPA,3.935142857,0
Berkeley,App GPA,3.844545455,0
Berkeley,App GPA,3.753333333,0
Berkeley,App GPA,3.895490196,0
Berkeley,App GPA,3.762142857,0
Berkeley,Adm GPA,3.922352941,1
Berkeley,App GPA,4.025714286,0
Berkeley,App GPA,3.826027397,0
Berkeley,Adm GPA,4.005,1
Berkeley,Enrl GPA,4.186,1
Berkeley,Adm GPA,4.171666667,1
Berkeley,App GPA,3.930322581,0
Berkeley,App GPA,3.850740741,0
Berkeley,App GPA,3.909361702,0
Berkeley,App GPA,3.873157895,0
Berkeley,Adm GPA,4.2625,1
Berkeley,Adm GPA,4.258333333,1
Berkeley,Enrl GPA,4.237272727,1
Berkeley,App GPA,3.607727273,0
Berkeley,App GPA,3.737777778,0
Berkeley,App GPA,4.158571429,0
Berkeley,Adm GPA,4.115333333,1
Berkeley,App GPA,3.948333333,0
Berkeley,App GPA,3.598571429,0
Berkeley,App GPA,3.882727273,0
Berkeley,Adm GPA,4.225,1
Berkeley,App GPA,3.715945946,0
Berkeley,Enrl GPA,4.22,1
Berkeley,App GPA,3.586774194,0
Berkeley,App GPA,3.7948,0
Berkeley,Adm GPA,4.191666667,1
Berkeley,App GPA,3.978571429,0
Berkeley,App GPA,3.698571429,0
Berkeley,Enrl GPA,3.724166667,1
Berkeley,Adm GPA,4.194545455,1
Berkeley,App GPA,3.727352941,0
Berkeley,App GPA,3.91,0
Berkeley,App GPA,4.041538462,0
Berkeley,App GPA,3.854375,0
Berkeley,Adm GPA,3.982727273,1
Berkeley,Adm GPA,3.845769231,1
Berkeley,App GPA,3.912189349,0
Berkeley,App GPA,3.622307692,0
Berkeley,App GPA,3.914761905,0
Berkeley,App GPA,3.89,0
Berkeley,Adm GPA,4.207777778,1
Berkeley,Enrl GPA,3.7375,1
Berkeley,App GPA,3.714782609,0
Berkeley,App GPA,3.855,0
Berkeley,Enrl GPA,4.116,1
Berkeley,App GPA,3.538253968,0
Berkeley,Adm GPA,4.332,1
Berkeley,App GPA,4.003157895,0
Berkeley,Adm GPA,4.164,1
Berkeley,App GPA,3.59,0
Berkeley,App GPA,3.85,0
Berkeley,Adm GPA,4.034285714,1
Berkeley,Enrl GPA,4.076,1
Berkeley,App GPA,3.576666667,0
Berkeley,App GPA,3.794242424,0
Berkeley,App GPA,3.932083333,0
Berkeley,App GPA,4.012820513,0
Berkeley,Adm GPA,4.255,1
Berkeley,Adm GPA,3.862857143,1
Berkeley,App GPA,3.859,0
Berkeley,Enrl GPA,4.208,1
Berkeley,Adm GPA,4.285,1
Berkeley,App GPA,3.93952381,0
Berkeley,App GPA,4.0025,0
Berkeley,Adm GPA,4.132,1
Berkeley,App GPA,3.695294118,0
Berkeley,Adm GPA,4.098333333,1
Berkeley,App GPA,3.918,0
Berkeley,Adm GPA,3.937333333,1
Berkeley,Enrl GPA,3.958125,1
Berkeley,App GPA,3.807,0
Berkeley,App GPA,3.873846154,0
Berkeley,Adm GPA,4.21,1
Berkeley,Enrl GPA,4.044,1
Berkeley,Enrl GPA,4.116666667,1
Berkeley,Adm GPA,4.23,1
Berkeley,App GPA,4.015,0
Berkeley,Adm GPA,4.1,1
Berkeley,Adm GPA,4.16375,1
Berkeley,Enrl GPA,3.88,1
Berkeley,App GPA,4.035319149,0
Berkeley,App GPA,3.997010309,0
Berkeley,App GPA,3.960943396,0
Berkeley,App GPA,3.9496,0
Berkeley,App GPA,3.822222222,0
Berkeley,App GPA,3.656206897,0
Berkeley,Adm GPA,4.109,1
Berkeley,App GPA,3.727333333,0
Berkeley,Adm GPA,3.98875,1
Berkeley,Adm GPA,3.938571429,1
Berkeley,App GPA,3.937083333,0
Berkeley,App GPA,3.83,0
Berkeley,Adm GPA,4.208571429,1
Berkeley,App GPA,3.913888889,0
Berkeley,App GPA,3.813333333,0
Berkeley,App GPA,3.969130435,0
Berkeley,Enrl GPA,4.115555556,1
Berkeley,App GPA,3.845416667,0
Berkeley,Adm GPA,4.275,1
Berkeley,App GPA,3.793137255,0
Berkeley,App GPA,3.844,0
Berkeley,App GPA,4.145555556,0
Berkeley,Enrl GPA,4.162173913,1
Berkeley,App GPA,3.99,0
Berkeley,App GPA,3.953478261,0
Berkeley,App GPA,3.810422535,0
Berkeley,App GPA,3.732,0
Berkeley,App GPA,3.919166667,0
Berkeley,Adm GPA,4.066153846,1
Berkeley,Adm GPA,4.074444444,1
Berkeley,App GPA,3.740454545,0
Berkeley,Adm GPA,4.190666667,1
Berkeley,App GPA,3.864545455,0
Berkeley,App GPA,3.863076923,0
Berkeley,Adm GPA,4.29375,1
Berkeley,Adm GPA,4.3,1
Berkeley,Adm GPA,4.184285714,1
Berkeley,App GPA,3.834210526,0
Berkeley,Enrl GPA,4.144333333,1
Berkeley,App GPA,3.867777778,0
Berkeley,Enrl GPA,4.027142857,1
Berkeley,Enrl GPA,3.88875,1
Berkeley,Enrl GPA,3.994166667,1
Berkeley,App GPA,3.799310345,0
Berkeley,Adm GPA,4.224,1
Berkeley,Adm GPA,4.271764706,1
Berkeley,Adm GPA,4.046666667,1
Berkeley,Adm GPA,4.204285714,1
Berkeley,Adm GPA,4.18375,1
Berkeley,App GPA,4.006666667,0
Berkeley,App GPA,3.919428571,0
Berkeley,App GPA,3.782857143,0
Berkeley,App GPA,3.780769231,0
Berkeley,Enrl GPA,3.656206897,1
Berkeley,App GPA,3.622307692,0
Berkeley,App GPA,3.84,0
Berkeley,App GPA,3.92047619,0
Berkeley,Adm GPA,3.963125,1
Berkeley,Enrl GPA,3.96875,1
Berkeley,App GPA,3.744835165,0
Berkeley,Adm GPA,4.044,1
Berkeley,App GPA,3.7025,0
Berkeley,Adm GPA,4.282666667,1
Berkeley,Adm GPA,4.18,1
Berkeley,Adm GPA,4.255,1
Berkeley,App GPA,3.947142857,0
Berkeley,Adm GPA,4.242,1
Berkeley,App GPA,3.928095238,0
Berkeley,App GPA,3.835,0
Berkeley,Enrl GPA,4.244,1
Berkeley,Adm GPA,4.2,1
Berkeley,App GPA,3.7225,0
Berkeley,Adm GPA,4.3,1
Berkeley,App GPA,3.837631579,0
Berkeley,App GPA,3.739736842,0
Berkeley,Adm GPA,3.692,1
Berkeley,App GPA,3.879473684,0
Berkeley,App GPA,3.794285714,0
Berkeley,App GPA,3.7915625,0
Berkeley,Enrl GPA,4.302857143,1
Berkeley,App GPA,3.747222222,0
Berkeley,Adm GPA,3.995,1
Berkeley,App GPA,3.94875,0
Berkeley,App GPA,3.781666667,0
Berkeley,Enrl GPA,4.23,1
Berkeley,App GPA,3.861410256,0
Berkeley,App GPA,3.695833333,0
Berkeley,Adm GPA,4.203125,1
Berkeley,App GPA,3.631818182,0
Berkeley,App GPA,3.644901961,0
Berkeley,App GPA,4.17,0
Berkeley,Adm GPA,4.084814815,1
Berkeley,App GPA,3.637777778,0
Berkeley,Adm GPA,4.166428571,1
Berkeley,App GPA,3.459333333,0
Berkeley,App GPA,3.55075,0
Berkeley,Enrl GPA,4.126470588,1
Berkeley,Adm GPA,4.243333333,1
Berkeley,Adm GPA,4.181714286,1
Berkeley,App GPA,4.008181818,0
Berkeley,App GPA,3.298461538,0
Berkeley,Adm GPA,4.164285714,1
Berkeley,Enrl GPA,4.25,1
Berkeley,Adm GPA,4.181666667,1
Berkeley,App GPA,3.577777778,0
Berkeley,Adm GPA,4.208,1
Berkeley,Enrl GPA,4.255714286,1
Berkeley,Enrl GPA,4.047692308,1
Berkeley,Enrl GPA,4.225,1
Berkeley,Adm GPA,4.08,1
Berkeley,App GPA,3.828125,0
Berkeley,Adm GPA,4.246,1
Berkeley,Enrl GPA,3.882,1
Berkeley,App GPA,3.886785714,0
Berkeley,Enrl GPA,3.934,1
Berkeley,Adm GPA,4.288,1
Berkeley,App GPA,4.089230769,0
Berkeley,App GPA,3.924181818,0
Berkeley,Enrl GPA,4.008333333,1
Berkeley,Adm GPA,3.95625,1
Berkeley,App GPA,3.895,0
Berkeley,App GPA,3.6575,0
Berkeley,App GPA,3.611666667,0
Berkeley,App GPA,3.632105263,0
Berkeley,Enrl GPA,4.188,1
Berkeley,Enrl GPA,4.097333333,1
Berkeley,App GPA,3.83875,0
Berkeley,Adm GPA,3.866666667,1
Berkeley,Adm GPA,3.97,1
Berkeley,App GPA,4.108,0
Berkeley,Adm GPA,4.258,1
Berkeley,App GPA,3.735438596,0
Berkeley,App GPA,3.808666667,0
Berkeley,App GPA,3.508636364,0
Berkeley,App GPA,3.831818182,0
Berkeley,Enrl GPA,4.273333333,1
Berkeley,App GPA,3.337272727,0
Berkeley,App GPA,3.706,0
Berkeley,App GPA,3.751923077,0
Berkeley,App GPA,3.978571429,0
Berkeley,App GPA,3.978333333,0
Berkeley,App GPA,3.865757576,0
Berkeley,Adm GPA,4.101666667,1
Berkeley,App GPA,3.908421053,0
Berkeley,App GPA,3.763076923,0
Berkeley,Adm GPA,4.145,1
Berkeley,Adm GPA,4.218,1
Berkeley,Adm GPA,4.154444444,1
Berkeley,Enrl GPA,3.725882353,1
Berkeley,App GPA,3.9355,0
Berkeley,App GPA,4.013333333,0
Berkeley,App GPA,3.844044944,0
Berkeley,App GPA,3.692,0
Berkeley,App GPA,3.892,0
Berkeley,App GPA,3.9278,0
Berkeley,App GPA,3.743760684,0
Berkeley,Adm GPA,4.288333333,1
Berkeley,App GPA,4.114285714,0
Berkeley,Adm GPA,4.073529412,1
Berkeley,Enrl GPA,4.258571429,1
Berkeley,App GPA,3.9728125,0
Berkeley,App GPA,4.04,0
Berkeley,App GPA,3.77,0
Berkeley,App GPA,3.887042254,0
Berkeley,App GPA,3.836086957,0
Berkeley,App GPA,3.945454545,0
Berkeley,Enrl GPA,4.128,1
Berkeley,App GPA,3.70375,0
Berkeley,Adm GPA,4.232083333,1
Berkeley,App GPA,3.851612903,0
Berkeley,App GPA,3.822888889,0
Berkeley,App GPA,4.042666667,0
Berkeley,App GPA,4.014375,0
Berkeley,App GPA,3.958181818,0
Berkeley,App GPA,3.605,0
Berkeley,Adm GPA,4.258461538,1
Berkeley,App GPA,3.608235294,0
Berkeley,App GPA,3.96,0
Berkeley,App GPA,3.905208333,0
Berkeley,App GPA,3.508333333,0
Berkeley,App GPA,3.8938,0
Berkeley,App GPA,4.173333333,0
Berkeley,App GPA,3.8,0
Berkeley,App GPA,3.985185185,0
Berkeley,Adm GPA,4.255,1
Berkeley,App GPA,3.835652174,0
Berkeley,App GPA,3.870952381,0
Berkeley,Adm GPA,4.118181818,1
Berkeley,App GPA,3.752216981,0
Berkeley,App GPA,3.671578947,0
Berkeley,Enrl GPA,4.128,1
Berkeley,Adm GPA,3.702,1
Berkeley,Adm GPA,3.971612903,1
Berkeley,App GPA,3.965625,0
Berkeley,App GPA,4.168333333,0
Berkeley,App GPA,4.041428571,0
Berkeley,App GPA,3.6592,0
Berkeley,App GPA,3.910833333,0
Berkeley,App GPA,3.91125,0
Berkeley,Enrl GPA,4.252272727,1
