Campus,Measure Name,GPA,Results
Davis,App GPA,3.49,0
Davis,Adm GPA,3.767,1
Davis,App GPA,3.894230769,0
Davis,App GPA,3.920909091,0
Davis,App GPA,3.8236,0
Davis,Enrl GPA,3.584285714,1
Davis,Adm GPA,4.068888889,1
Davis,Enrl GPA,3.901428571,1
Davis,Enrl GPA,3.79,1
Davis,Adm GPA,4.061818182,1
Davis,App GPA,3.775660377,0
Davis,Adm GPA,3.85,1
Davis,App GPA,3.431428571,0
Davis,App GPA,3.48,0
Davis,Enrl GPA,3.743333333,1
Davis,App GPA,3.778,0
Davis,App GPA,3.846666667,0
Davis,App GPA,3.586666667,0
Davis,App GPA,3.682727273,0
Davis,Enrl GPA,3.522,1
Davis,App GPA,3.77,0
Davis,Adm GPA,3.362,1
Davis,App GPA,3.9,0
Davis,Adm GPA,3.671666667,1
Davis,App GPA,3.704193548,0
Davis,Adm GPA,4.084,1
Davis,App GPA,3.61516129,0
Davis,App GPA,3.338095238,0
Davis,App GPA,3.369333333,0
Davis,App GPA,3.736,0
Davis,App GPA,3.715555556,0
Davis,Adm GPA,4.036666667,1
Davis,Adm GPA,3.78,1
Davis,Adm GPA,3.733488372,1
Davis,App GPA,3.62030303,0
Davis,Adm GPA,4.169557522,1
Davis,Enrl GPA,4.106666667,1
Davis,Adm GPA,4.156363636,1
Davis,App GPA,3.885,0
Davis,App GPA,3.630666667,0
Davis,App GPA,3.800740741,0
Davis,App GPA,3.899512195,0
Davis,Adm GPA,3.934,1
Davis,Adm GPA,3.990909091,1
Davis,App GPA,3.654814815,0
Davis,Enrl GPA,3.725,1
Davis,App GPA,3.55,0
Davis,Adm GPA,3.6525,1
Davis,App GPA,3.445714286,0
Davis,Enrl GPA,3.411428571,1
Davis,App GPA,3.467777778,0
Davis,Adm GPA,4.003333333,1
Davis,Adm GPA,4.162121212,1
Davis,App GPA,3.737647059,0
Davis,App GPA,2.898,0
Davis,App GPA,3.968571429,0
Davis,App GPA,3.538888889,0
Davis,Adm GPA,3.668,1
Davis,Enrl GPA,3.785,1
Davis,App GPA,3.793,0
Davis,Adm GPA,4.18625,1
