Campus,Measure Name,GPA,Results
Irvine,App GPA,3.56,0
Irvine,Adm GPA,3.860769231,1
Irvine,App GPA,3.709183673,0
Irvine,Adm GPA,3.943783784,1
Irvine,App GPA,3.738333333,0
Irvine,Adm GPA,3.966363636,1
Irvine,App GPA,3.538412698,0
Irvine,Enrl GPA,3.68,1
Irvine,App GPA,3.646,0
Irvine,App GPA,3.8875,0
Irvine,Adm GPA,4.076,1
Irvine,Adm GPA,4.011666667,1
Irvine,Adm GPA,3.980552147,1
Irvine,Enrl GPA,4.074,1
Irvine,Adm GPA,3.566,1
Irvine,App GPA,3.619130435,0
Irvine,App GPA,3.444,0
Irvine,App GPA,3.702222222,0
Irvine,Adm GPA,4.0725,1
Irvine,Adm GPA,4.115,1
Irvine,Adm GPA,4.13,1
Irvine,App GPA,3.874054054,0
Irvine,Adm GPA,3.877272727,1
Irvine,App GPA,3.731428571,0
Irvine,Adm GPA,3.813148148,1
Irvine,App GPA,3.536730769,0
Irvine,Adm GPA,4.078571429,1
Irvine,Enrl GPA,3.661818182,1
Irvine,App GPA,3.754953271,0
Irvine,App GPA,3.871046512,0
Irvine,App GPA,3.5165,0
Irvine,Enrl GPA,3.556,1
Irvine,App GPA,3.5665,0
Irvine,Adm GPA,4.042222222,1
Irvine,App GPA,3.545714286,0
Irvine,Adm GPA,4.03,1
Irvine,App GPA,3.71575,0
Irvine,Adm GPA,3.857931034,1
Irvine,Enrl GPA,3.759166667,1
Irvine,App GPA,3.679036145,0
Irvine,Enrl GPA,3.6175,1
Irvine,App GPA,3.504,0
Irvine,Adm GPA,4.103666667,1
Irvine,Adm GPA,4.03,1
Irvine,App GPA,3.616489362,0
Irvine,Adm GPA,4.208571429,1
Irvine,App GPA,3.69,0
Irvine,Adm GPA,3.922727273,1
Irvine,App GPA,3.889375,0
Irvine,Adm GPA,4.078111111,1
Irvine,App GPA,3.410344828,0
Irvine,Adm GPA,3.850714286,1
Irvine,Adm GPA,3.839166667,1
Irvine,Adm GPA,4.16375,1
Irvine,Adm GPA,3.888,1
Irvine,Adm GPA,4.061111111,1
Irvine,Enrl GPA,3.515454545,1
Irvine,Adm GPA,3.988387097,1
Irvine,Adm GPA,4.032,1
Irvine,App GPA,3.830461538,0
Irvine,Adm GPA,3.920769231,1
Irvine,App GPA,3.961428571,0
