Campus,Measure Name,GPA,Results
Los Angeles,App GPA,4.114,0
Los Angeles,Adm GPA,4.155625,1
Los Angeles,App GPA,4.019,0
Los Angeles,App GPA,3.879047619,0
Los Angeles,Enrl GPA,4.233333333,1
Los Angeles,Adm GPA,4.174,1
Los Angeles,Adm GPA,4.20825,1
Los Angeles,App GPA,3.801176471,0
Los Angeles,App GPA,3.986,0
Los Angeles,Enrl GPA,4.057142857,1
Los Angeles,Adm GPA,3.99,1
Los Angeles,Enrl GPA,3.855,1
Los Angeles,Adm GPA,4.245384615,1
Los Angeles,App GPA,3.685810811,0
Los Angeles,App GPA,3.791428571,0
Los Angeles,Enrl GPA,3.962,1
Los Angeles,App GPA,3.726666667,0
Los Angeles,App GPA,3.809193548,0
Los Angeles,App GPA,3.656323529,0
Los Angeles,App GPA,3.905833333,0
Los Angeles,Adm GPA,4.241538462,1
Los Angeles,App GPA,3.827678571,0
Los Angeles,Enrl GPA,4.118181818,1
Los Angeles,Adm GPA,4.217777778,1
Los Angeles,Enrl GPA,4.043333333,1
Los Angeles,Adm GPA,3.973030303,1
Los Angeles,Adm GPA,4.103333333,1
Los Angeles,App GPA,3.809344262,0
Los Angeles,Enrl GPA,3.833333333,1
Los Angeles,Enrl GPA,4.082,1
Los Angeles,App GPA,3.4684,0
Los Angeles,App GPA,3.796,0
Los Angeles,Enrl GPA,4.138571429,1
Los Angeles,Enrl GPA,3.562,1
Los Angeles,Adm GPA,4.11375,1
Los Angeles,App GPA,4.028181818,0
Los Angeles,Enrl GPA,4.111666667,1
Los Angeles,App GPA,3.821904762,0
Los Angeles,App GPA,3.664848485,0
Los Angeles,Enrl GPA,4.092857143,1
Los Angeles,App GPA,3.444137931,0
Los Angeles,Adm GPA,4.235818182,1
Los Angeles,App GPA,3.976666667,0
Los Angeles,App GPA,3.898,0
Los Angeles,Enrl GPA,3.935652174,1
Los Angeles,App GPA,3.932222222,0
Los Angeles,Enrl GPA,4.06,1
Los Angeles,App GPA,3.124615385,0
Los Angeles,Adm GPA,3.9075,1
Los Angeles,App GPA,3.985428571,0
Los Angeles,Adm GPA,4.141428571,1
Los Angeles,App GPA,3.725263158,0
Los Angeles,Adm GPA,4.115517241,1
Los Angeles,App GPA,3.880422535,0
Los Angeles,App GPA,3.548461538,0
Los Angeles,App GPA,3.9121875,0
Los Angeles,Adm GPA,4.251578947,1
Los Angeles,App GPA,3.713478261,0
Los Angeles,App GPA,3.930606061,0
Los Angeles,App GPA,3.508181818,0
Los Angeles,App GPA,3.6,0
Los Angeles,Adm GPA,4.276666667,1
Los Angeles,Adm GPA,4.085,1
Los Angeles,Adm GPA,4.249,1
Los Angeles,App GPA,3.54,0
Los Angeles,App GPA,3.925555556,0
Los Angeles,Enrl GPA,4.23,1
Los Angeles,App GPA,3.885384615,0
Los Angeles,Adm GPA,4.09,1
Los Angeles,App GPA,3.892470588,0
Los Angeles,App GPA,4.017272727,0
Los Angeles,App GPA,3.561492537,0
Los Angeles,App GPA,3.773684211,0
Los Angeles,Enrl GPA,4.248181818,1
Los Angeles,App GPA,3.601666667,0
Los Angeles,Adm GPA,3.917142857,1
Los Angeles,Adm GPA,4.0796,1
Los Angeles,Adm GPA,3.99,1
Los Angeles,App GPA,3.832142857,0
Los Angeles,Enrl GPA,4.1275,1
Los Angeles,Adm GPA,4.208,1
Los Angeles,App GPA,3.823191489,0
Los Angeles,Adm GPA,4.098,1
Los Angeles,App GPA,3.471,0
Los Angeles,Adm GPA,4.26244898,1
Los Angeles,App GPA,3.913888889,0
Los Angeles,Adm GPA,4.292,1
Los Angeles,Adm GPA,4.150434783,1
Los Angeles,App GPA,3.83125,0
Los Angeles,App GPA,3.86047619,0
Los Angeles,Adm GPA,4.25875,1
