Campus,Measure Name,GPA,Results
Riverside,Enrl GPA,3.180333333,1
Riverside,Enrl GPA,3.59,1
Riverside,Enrl GPA,3.488,1
Riverside,App GPA,3.78,0
Riverside,Adm GPA,3.426593407,1
Riverside,App GPA,3.358571429,0
Riverside,App GPA,3.418,0
Riverside,App GPA,3.599375,0
Riverside,App GPA,2.975454545,0
Riverside,App GPA,3.504871795,0
Riverside,Adm GPA,4.055,1
Riverside,App GPA,3.670909091,0
Riverside,Adm GPA,3.486030534,1
Riverside,App GPA,3.725242718,0
Riverside,Adm GPA,3.441666667,1
Riverside,Adm GPA,3.862,1
Riverside,App GPA,3.478181818,0
Riverside,Adm GPA,3.334,1
Riverside,Adm GPA,3.573333333,1
Riverside,Adm GPA,3.875,1
Riverside,App GPA,3.434285714,0
Riverside,Enrl GPA,3.658,1
Riverside,Enrl GPA,3.669444444,1
Riverside,Adm GPA,3.39,1
Riverside,App GPA,3.378918919,0
Riverside,App GPA,3.796,0
Riverside,App GPA,3.57375,0
Riverside,Adm GPA,3.748181818,1
Riverside,Enrl GPA,3.68875,1
Riverside,App GPA,3.557711864,0
Riverside,App GPA,3.584166667,0
Riverside,Adm GPA,3.83875,1
Riverside,Adm GPA,3.44,1
Riverside,Adm GPA,3.706086957,1
Riverside,App GPA,3.439090909,0
Riverside,App GPA,3.537368421,0
Riverside,App GPA,3.562857143,0
Riverside,App GPA,3.635454545,0
Riverside,Adm GPA,3.616734694,1
Riverside,Adm GPA,3.59,1
Riverside,Adm GPA,3.958,1
Riverside,App GPA,3.6588,0
Riverside,Adm GPA,3.631428571,1
Riverside,App GPA,3.552666667,0
Riverside,App GPA,3.687083333,0
Riverside,Adm GPA,3.488684211,1
Riverside,App GPA,3.567391304,0
Riverside,Enrl GPA,3.481666667,1
Riverside,App GPA,3.685,0
Riverside,App GPA,3.769047619,0
Riverside,App GPA,3.388,0
Riverside,App GPA,3.530222222,0
Riverside,Adm GPA,3.653,1
Riverside,App GPA,3.541666667,0
Riverside,App GPA,3.677,0
Riverside,App GPA,3.625,0
Riverside,App GPA,3.165,0
Riverside,App GPA,3.475833333,0
Riverside,Enrl GPA,3.494166667,1
Riverside,App GPA,3.126,0
Riverside,Adm GPA,3.566478873,1
Riverside,App GPA,3.469285714,0
Riverside,Adm GPA,3.557307692,1
Riverside,App GPA,3.498571429,0
Riverside,Enrl GPA,3.48,1
Riverside,App GPA,3.423333333,0
Riverside,App GPA,3.553928571,0
Riverside,Adm GPA,3.650238095,1
Riverside,Enrl GPA,3.616,1
Riverside,Adm GPA,3.754137931,1
Riverside,App GPA,3.272291667,0
Riverside,Adm GPA,3.567748344,1
Riverside,App GPA,3.8,0
Riverside,Adm GPA,3.514901961,1
Riverside,Adm GPA,3.817083333,1
Riverside,App GPA,3.824285714,0
Riverside,App GPA,3.133478261,0
Riverside,App GPA,3.331111111,0
Riverside,Enrl GPA,3.557777778,1
Riverside,App GPA,3.356666667,0
Riverside,Adm GPA,3.5628125,1
Riverside,App GPA,3.492222222,0
Riverside,Adm GPA,3.720416667,1
Riverside,App GPA,3.66,0
Riverside,Adm GPA,3.789333333,1
Riverside,Adm GPA,3.824285714,1
Riverside,Enrl GPA,3.377333333,1
Riverside,App GPA,3.517714286,0
Riverside,App GPA,3.528823529,0
Riverside,Adm GPA,3.402025316,1
Riverside,Adm GPA,3.918333333,1
Riverside,Adm GPA,3.664210526,1
Riverside,Enrl GPA,3.61375,1
Riverside,App GPA,3.333333333,0
Riverside,App GPA,3.71625,0
Riverside,Enrl GPA,3.326,1
Riverside,Adm GPA,3.798,1
Riverside,App GPA,3.410416667,0
Riverside,Adm GPA,3.590882353,1
Riverside,Enrl GPA,3.755555556,1
Riverside,App GPA,3.546923077,0
Riverside,App GPA,3.70125,0
Riverside,Adm GPA,3.688153846,1
Riverside,Enrl GPA,3.708095238,1
Riverside,App GPA,3.395178571,0
Riverside,Adm GPA,3.707,1
Riverside,App GPA,3.504230769,0
Riverside,App GPA,3.517,0
Riverside,App GPA,3.158333333,0
Riverside,App GPA,3.3175,0
