Campus,Measure Name,GPA,Results
San Diego,App GPA,3.645517241,0
San Diego,Adm GPA,4.204,1
San Diego,App GPA,3.801340206,0
San Diego,App GPA,3.903333333,0
San Diego,Enrl GPA,4.049,1
San Diego,App GPA,3.511666667,0
San Diego,App GPA,4.032820513,0
San Diego,Adm GPA,3.616666667,1
San Diego,App GPA,3.795238095,0
San Diego,App GPA,3.499130435,0
San Diego,App GPA,3.362857143,0
San Diego,App GPA,3.31,0
San Diego,Enrl GPA,3.922857143,1
San Diego,Enrl GPA,4.07,1
San Diego,App GPA,3.26,0
San Diego,App GPA,3.780555556,0
San Diego,Adm GPA,4.135714286,1
San Diego,App GPA,3.763333333,0
San Diego,Adm GPA,4.058,1
San Diego,Adm GPA,4.17,1
San Diego,App GPA,3.611212121,0
San Diego,Adm GPA,4.170909091,1
San Diego,Adm GPA,3.944545455,1
San Diego,App GPA,3.351538462,0
San Diego,App GPA,3.495416667,0
San Diego,Adm GPA,3.904285714,1
San Diego,Adm GPA,3.9925,1
San Diego,App GPA,3.551538462,0
San Diego,Adm GPA,4.102698413,1
San Diego,Enrl GPA,4.094,1
San Diego,Enrl GPA,3.854705882,1
San Diego,App GPA,3.704,0
San Diego,Enrl GPA,4.212,1
San Diego,Adm GPA,4.189473684,1
San Diego,Adm GPA,4.25037037,1
San Diego,Adm GPA,4.133076923,1
San Diego,App GPA,3.843666667,0
San Diego,Enrl GPA,3.83,1
San Diego,App GPA,3.338,0
San Diego,Adm GPA,4.266923077,1
San Diego,App GPA,3.702702703,0
San Diego,App GPA,3.695294118,0
San Diego,Adm GPA,4.274516129,1
San Diego,Adm GPA,3.972,1
San Diego,Adm GPA,4.146363636,1
San Diego,App GPA,3.518888889,0
San Diego,Enrl GPA,3.939,1
San Diego,App GPA,3.687777778,0
San Diego,Enrl GPA,4.036666667,1
San Diego,Adm GPA,4.053333333,1
San Diego,App GPA,3.777142857,0
San Diego,App GPA,3.904444444,0
San Diego,App GPA,3.802376238,0
San Diego,Adm GPA,3.962121212,1
San Diego,App GPA,3.9425,0
San Diego,App GPA,3.644666667,0
San Diego,App GPA,4.164,0
San Diego,Adm GPA,4.061111111,1
San Diego,Enrl GPA,4.260769231,1
San Diego,Adm GPA,4.028,1
San Diego,Adm GPA,3.981276596,1
San Diego,App GPA,3.777142857,0
San Diego,Adm GPA,4.256666667,1
San Diego,App GPA,3.851428571,0
San Diego,App GPA,3.768947368,0
San Diego,App GPA,3.750882353,0
San Diego,App GPA,3.691666667,0
San Diego,App GPA,3.748666667,0
San Diego,Adm GPA,4.16974359,1
San Diego,Adm GPA,4.1275,1
San Diego,Adm GPA,4.093103448,1
San Diego,Adm GPA,3.973870968,1
San Diego,App GPA,3.814666667,0
San Diego,Enrl GPA,4.03,1
San Diego,App GPA,3.97125,0
San Diego,App GPA,3.752105263,0
San Diego,Adm GPA,4.24,1
San Diego,Adm GPA,4.132340426,1
San Diego,Adm GPA,3.993333333,1
San Diego,Adm GPA,3.985714286,1
San Diego,App GPA,3.8592,0
San Diego,App GPA,3.60875,0
San Diego,Adm GPA,4.045833333,1
San Diego,Enrl GPA,3.995217391,1
San Diego,App GPA,3.663333333,0
San Diego,App GPA,3.930666667,0
San Diego,Adm GPA,4.039,1
San Diego,App GPA,3.54047619,0
San Diego,Adm GPA,4.302068966,1
San Diego,App GPA,3.545,0
San Diego,App GPA,3.931315789,0
San Diego,Enrl GPA,4.045,1
San Diego,Adm GPA,4.127307692,1
San Diego,App GPA,3.836666667,0
San Diego,Adm GPA,4.04,1
San Diego,App GPA,3.57,0
San Diego,Adm GPA,4.1798,1
San Diego,Adm GPA,4.132,1
San Diego,App GPA,3.693333333,0
San Diego,Adm GPA,3.989803922,1
San Diego,Adm GPA,4.271538462,1
San Diego,Enrl GPA,3.912,1
San Diego,Adm GPA,4.073076923,1
San Diego,App GPA,3.5825,0
San Diego,App GPA,3.924814815,0
San Diego,App GPA,3.634782609,0
San Diego,App GPA,3.903333333,0
San Diego,Adm GPA,4.005263158,1
San Diego,Adm GPA,4.224,1
San Diego,App GPA,3.581818182,0
San Diego,App GPA,3.746774194,0
San Diego,App GPA,3.939874214,0
San Diego,Adm GPA,4.224545455,1
San Diego,App GPA,3.50047619,0
San Diego,App GPA,3.675769231,0
San Diego,App GPA,3.859736842,0
San Diego,App GPA,3.6125,0
San Diego,App GPA,3.684230769,0
San Diego,App GPA,3.752424242,0
San Diego,App GPA,3.453333333,0
San Diego,Adm GPA,4.221875,1
San Diego,Enrl GPA,4.054,1
San Diego,Enrl GPA,4.055,1
San Diego,Adm GPA,3.9875,1
San Diego,App GPA,3.610777778,0
San Diego,Adm GPA,3.987254902,1
San Diego,App GPA,3.812857143,0
San Diego,App GPA,3.667666667,0
San Diego,Enrl GPA,3.804516129,1
San Diego,Adm GPA,3.74,1
San Diego,App GPA,3.556571429,0
San Diego,Adm GPA,3.854375,1
San Diego,App GPA,3.541111111,0
San Diego,App GPA,3.932307692,0
San Diego,Enrl GPA,4.076,1
San Diego,Adm GPA,3.925,1
San Diego,Enrl GPA,4.066666667,1
San Diego,Adm GPA,4.228235294,1
San Diego,App GPA,3.804742268,0
San Diego,Adm GPA,4.277,1
San Diego,Enrl GPA,3.804,1
San Diego,App GPA,3.284444444,0
San Diego,Adm GPA,4.128571429,1
San Diego,Adm GPA,4.124285714,1
San Diego,Adm GPA,4.19875,1
San Diego,App GPA,3.970423729,0
San Diego,App GPA,3.694444444,0
San Diego,App GPA,3.575,0
San Diego,Adm GPA,4.091428571,1
San Diego,App GPA,3.68625,0
San Diego,App GPA,3.878181818,0
San Diego,Adm GPA,4.122,1
San Diego,App GPA,3.85,0
San Diego,Adm GPA,3.878181818,1
San Diego,App GPA,3.681904762,0
San Diego,Adm GPA,3.90875,1
San Diego,App GPA,3.948333333,0
San Diego,App GPA,3.775,0
San Diego,App GPA,3.590625,0
San Diego,Adm GPA,4.130909091,1
San Diego,Adm GPA,3.952173913,1
San Diego,App GPA,3.775,0
San Diego,Enrl GPA,3.862727273,1
San Diego,Adm GPA,4.095,1
San Diego,Enrl GPA,3.70625,1
San Diego,Adm GPA,4.038571429,1
San Diego,Enrl GPA,4.154285714,1
San Diego,App GPA,3.686294643,0
San Diego,App GPA,3.722739726,0
San Diego,App GPA,3.436,0
San Diego,Enrl GPA,3.788,1
San Diego,Enrl GPA,3.973333333,1
San Diego,Adm GPA,3.993333333,1
San Diego,Adm GPA,4.165,1
San Diego,Adm GPA,4.097142857,1
San Diego,App GPA,3.667179487,0
San Diego,Adm GPA,4.028,1
San Diego,Adm GPA,3.899411765,1
San Diego,App GPA,3.742985075,0
San Diego,Adm GPA,3.95175,1
San Diego,Adm GPA,4.205,1
San Diego,Adm GPA,4.022857143,1
San Diego,App GPA,3.722051282,0
San Diego,App GPA,3.833333333,0
San Diego,Enrl GPA,3.888125,1
San Diego,App GPA,3.525217391,0
San Diego,Adm GPA,4.243,1
San Diego,App GPA,3.385714286,0
San Diego,App GPA,3.8936,0
San Diego,App GPA,3.3875,0
San Diego,App GPA,3.801333333,0
San Diego,Adm GPA,3.99,1
San Diego,Adm GPA,4.225833333,1
San Diego,App GPA,3.666666667,0
San Diego,App GPA,3.950645161,0
San Diego,App GPA,3.835108696,0
San Diego,App GPA,3.717878788,0
San Diego,App GPA,3.690869565,0
San Diego,App GPA,3.7604,0
San Diego,Enrl GPA,4.22,1
San Diego,App GPA,3.676086957,0
San Diego,Adm GPA,4.008095238,1
San Diego,App GPA,3.787142857,0
San Diego,App GPA,3.619761905,0
San Diego,Adm GPA,4.118,1
San Diego,Enrl GPA,3.747777778,1
San Diego,Adm GPA,4.208085106,1
San Diego,Adm GPA,4.242816901,1
San Diego,Enrl GPA,3.756,1
San Diego,Enrl GPA,3.841666667,1
San Diego,Adm GPA,3.754285714,1
San Diego,Adm GPA,3.822857143,1
San Diego,App GPA,3.808717949,0
San Diego,App GPA,3.9778125,0
San Diego,App GPA,3.337777778,0
San Diego,App GPA,3.936829268,0
San Diego,Enrl GPA,4.004705882,1
San Diego,Enrl GPA,3.83875,1
San Diego,App GPA,3.53,0
San Diego,App GPA,3.668181818,0
San Diego,Adm GPA,4.158666667,1
San Diego,Enrl GPA,4.049,1
San Diego,App GPA,3.533636364,0
San Diego,App GPA,3.714655172,0
San Diego,Enrl GPA,4.05,1
San Diego,App GPA,3.954090909,0
San Diego,App GPA,3.3,0
San Diego,App GPA,3.794,0
San Diego,App GPA,3.883396226,0
San Diego,Adm GPA,3.766,1
San Diego,App GPA,3.6725,0
San Diego,App GPA,3.683478261,0
San Diego,App GPA,3.726285714,0
San Diego,Adm GPA,3.947692308,1
San Diego,Adm GPA,4.056363636,1
San Diego,App GPA,3.5724,0
San Diego,Adm GPA,3.963636364,1
San Diego,Adm GPA,4.112380952,1
San Diego,Enrl GPA,3.858,1
San Diego,Enrl GPA,3.77,1
San Diego,Adm GPA,4.212068966,1
San Diego,Enrl GPA,3.86,1
San Diego,Adm GPA,3.9834375,1
San Diego,Enrl GPA,3.934285714,1
San Diego,Adm GPA,4.15,1
San Diego,Adm GPA,3.919230769,1
San Diego,App GPA,3.710769231,0
San Diego,App GPA,3.721751825,0
San Diego,Adm GPA,4.216597222,1
San Diego,Adm GPA,4.229,1
San Diego,Adm GPA,4.236666667,1
San Diego,Adm GPA,3.834285714,1
San Diego,Enrl GPA,3.966,1
San Diego,App GPA,3.612571429,0
San Diego,App GPA,3.994,0
San Diego,App GPA,3.83862069,0
San Diego,Enrl GPA,3.694666667,1
San Diego,Adm GPA,4.0275,1
San Diego,Adm GPA,3.951724138,1
San Diego,Enrl GPA,4.048,1
San Diego,Enrl GPA,3.823125,1
San Diego,App GPA,3.524,0
San Diego,App GPA,3.834,0
San Diego,App GPA,4.014444444,0
San Diego,Enrl GPA,3.857142857,1
San Diego,Enrl GPA,3.9475,1
San Diego,App GPA,3.835,0
San Diego,App GPA,3.993333333,0
San Diego,App GPA,3.356,0
San Diego,Enrl GPA,4.085,1
San Diego,App GPA,3.800833333,0
San Diego,Enrl GPA,3.703333333,1
San Diego,Adm GPA,4.152,1
San Diego,Adm GPA,4.091666667,1
San Diego,App GPA,3.900967742,0
San Diego,App GPA,3.654285714,0
San Diego,App GPA,3.44,0
San Diego,Enrl GPA,4.125384615,1
San Diego,App GPA,3.611428571,0
San Diego,App GPA,3.836835443,0
San Diego,App GPA,3.748571429,0
San Diego,App GPA,3.675357143,0
San Diego,Enrl GPA,3.863157895,1
San Diego,Adm GPA,3.878,1
San Diego,App GPA,3.89,0
San Diego,App GPA,3.708780488,0
San Diego,App GPA,3.886744186,0
San Diego,App GPA,3.622,0
San Diego,App GPA,3.839917355,0
San Diego,App GPA,3.71483871,0
San Diego,App GPA,3.41,0
San Diego,App GPA,3.56,0
San Diego,Adm GPA,4.047692308,1
San Diego,Adm GPA,4.12,1
San Diego,Adm GPA,4.135454545,1
San Diego,App GPA,3.787857143,0
San Diego,Enrl GPA,3.706666667,1
San Diego,App GPA,3.8325,0
San Diego,Enrl GPA,3.918,1
San Diego,App GPA,3.39,0
San Diego,App GPA,3.506,0
San Diego,App GPA,3.601290323,0
San Diego,Adm GPA,3.955,1
San Diego,App GPA,3.626949153,0
San Diego,Adm GPA,4.118571429,1
San Diego,Enrl GPA,4.0625,1
San Diego,App GPA,3.84,0
San Diego,Enrl GPA,4.18,1
San Diego,Enrl GPA,4.068333333,1
San Diego,Adm GPA,4.18,1
San Diego,App GPA,3.701153846,0
San Diego,App GPA,3.700357143,0
San Diego,App GPA,3.669047619,0
San Diego,App GPA,3.73,0
San Diego,App GPA,3.660769231,0
San Diego,Adm GPA,4.141666667,1
San Diego,App GPA,3.873018868,0
San Diego,Adm GPA,4.032727273,1
San Diego,Adm GPA,4.191538462,1
San Diego,App GPA,3.927222222,0
San Diego,App GPA,3.971428571,0
San Diego,Adm GPA,4.081818182,1
San Diego,App GPA,3.683,0
San Diego,Enrl GPA,4.048,1
San Diego,App GPA,3.949230769,0
San Diego,App GPA,3.794871795,0
San Diego,App GPA,3.675901639,0
San Diego,Enrl GPA,3.872,1
San Diego,Adm GPA,4.126923077,1
San Diego,App GPA,3.524081633,0
San Diego,Adm GPA,4.095555556,1
San Diego,App GPA,3.625925926,0
San Diego,App GPA,3.946,0
San Diego,Enrl GPA,4.028571429,1
San Diego,Adm GPA,3.856521739,1
San Diego,Adm GPA,4.200425532,1
San Diego,Adm GPA,3.987222222,1
San Diego,App GPA,3.776153846,0
San Diego,Adm GPA,4.082,1
San Diego,Enrl GPA,3.745454545,1
San Diego,App GPA,3.670243902,0
San Diego,Enrl GPA,3.922,1
San Diego,Adm GPA,3.9115,1
San Diego,Adm GPA,4.341428571,1
San Diego,Adm GPA,3.984477612,1
San Diego,Adm GPA,3.826153846,1
San Diego,Adm GPA,4.203333333,1
San Diego,App GPA,3.662307692,0
San Diego,App GPA,3.45704918,0
San Diego,Enrl GPA,3.91,1
San Diego,Adm GPA,3.996666667,1
San Diego,Adm GPA,3.846842105,1
San Diego,App GPA,3.664615385,0
San Diego,Enrl GPA,3.99,1
San Diego,App GPA,3.818629032,0
San Diego,Adm GPA,4.185625,1
San Diego,App GPA,3.69974026,0
San Diego,Adm GPA,4.109230769,1
San Diego,App GPA,3.669333333,0
San Diego,Adm GPA,4.106818182,1
San Diego,Adm GPA,4.248965517,1
San Diego,App GPA,3.798103448,0
San Diego,App GPA,3.565384615,0
San Diego,Adm GPA,3.942826087,1
San Diego,Enrl GPA,3.87,1
San Diego,Adm GPA,4.186111111,1
San Diego,Adm GPA,4.21,1
San Diego,Adm GPA,4.191764706,1
San Diego,App GPA,3.94,0
San Diego,Enrl GPA,4.020540541,1
San Diego,App GPA,3.925714286,0
San Diego,App GPA,3.642727273,0
San Diego,Adm GPA,3.95125,1
San Diego,Enrl GPA,3.796428571,1
San Diego,App GPA,3.833333333,0
San Diego,Adm GPA,4.208666667,1
San Diego,Adm GPA,3.938,1
San Diego,Adm GPA,4.139090909,1
San Diego,App GPA,3.970625,0
San Diego,Adm GPA,4.047222222,1
San Diego,App GPA,3.652682927,0
San Diego,Enrl GPA,3.816,1
San Diego,Enrl GPA,4.176,1
San Diego,App GPA,3.976166667,0
San Diego,App GPA,3.950540541,0
San Diego,App GPA,3.791190476,0
San Diego,App GPA,3.83,0
San Diego,App GPA,3.762666667,0
San Diego,Adm GPA,3.968333333,1
San Diego,Adm GPA,4.268571429,1
San Diego,Adm GPA,4.034444444,1
San Diego,Adm GPA,4.022857143,1
San Diego,App GPA,3.73787234,0
San Diego,App GPA,3.551111111,0
San Diego,App GPA,3.376666667,0
San Diego,Enrl GPA,4.0525,1
San Diego,Adm GPA,3.908,1
San Diego,App GPA,3.63,0
San Diego,App GPA,3.821818182,0
San Diego,Enrl GPA,3.794375,1
San Diego,App GPA,3.756923077,0
San Diego,Enrl GPA,4.041666667,1
San Diego,App GPA,3.762222222,0
San Diego,App GPA,3.87,0
San Diego,App GPA,3.924603175,0
San Diego,App GPA,3.635,0
San Diego,Adm GPA,4.230526316,1
San Diego,App GPA,3.724285714,0
San Diego,App GPA,3.836521739,0
San Diego,Adm GPA,4.032307692,1
San Diego,App GPA,3.635333333,0
San Diego,App GPA,3.8404,0
San Diego,App GPA,3.788666667,0
San Diego,Adm GPA,3.983404255,1
San Diego,App GPA,3.781052632,0
San Diego,Adm GPA,4.117,1
San Diego,App GPA,3.861666667,0
San Diego,Enrl GPA,4.215,1
San Diego,App GPA,3.8875,0
San Diego,App GPA,3.71,0
San Diego,App GPA,3.775833333,0
San Diego,App GPA,3.627037037,0
San Diego,Adm GPA,4.068846154,1
San Diego,App GPA,3.87008547,0
San Diego,App GPA,3.845757576,0
San Diego,App GPA,3.714,0
San Diego,App GPA,4.025,0
San Diego,App GPA,3.478333333,0
San Diego,Adm GPA,3.806,1
San Diego,Adm GPA,4.153333333,1
San Diego,Adm GPA,4.125454545,1
San Diego,App GPA,3.692093023,0
San Diego,App GPA,3.887333333,0
San Diego,App GPA,3.724776119,0
San Diego,App GPA,3.859655172,0
San Diego,App GPA,3.451428571,0
San Diego,App GPA,3.667924528,0
San Diego,App GPA,3.731666667,0
San Diego,Adm GPA,3.99125,1
San Diego,App GPA,3.826969697,0
San Diego,Adm GPA,3.977142857,1
San Diego,App GPA,3.804888889,0
San Diego,Enrl GPA,3.99625,1
San Diego,App GPA,3.726,0
San Diego,App GPA,3.769090909,0
San Diego,App GPA,3.688709677,0
San Diego,Adm GPA,4.228888889,1
San Diego,Adm GPA,4.019,1
San Diego,App GPA,3.343928571,0
San Diego,App GPA,3.60125,0
San Diego,Adm GPA,3.913703704,1
San Diego,App GPA,3.72,0
San Diego,Enrl GPA,3.734545455,1
San Diego,Adm GPA,4.034,1
San Diego,App GPA,3.648488372,0
San Diego,Adm GPA,3.958888889,1
San Diego,Enrl GPA,3.992,1
San Diego,App GPA,3.745081967,0
San Diego,Adm GPA,4.1,1
San Diego,Adm GPA,4.158333333,1
San Diego,Adm GPA,4.105833333,1
San Diego,Enrl GPA,3.865,1
San Diego,App GPA,3.466923077,0
San Diego,Adm GPA,4.185,1
San Diego,App GPA,3.77,0
San Diego,Adm GPA,4.055652174,1
San Diego,App GPA,3.976666667,0
San Diego,Enrl GPA,3.931111111,1
San Diego,Adm GPA,4.082608696,1
San Diego,App GPA,3.762916667,0
San Diego,Enrl GPA,3.885,1
San Diego,App GPA,3.93,0
San Diego,App GPA,3.471666667,0
San Diego,Adm GPA,4.12,1
San Diego,App GPA,3.650273973,0
San Diego,App GPA,3.736923077,0
San Diego,App GPA,3.78,0
San Diego,App GPA,3.845294118,0
San Diego,App GPA,3.727575758,0
San Diego,App GPA,3.6,0
San Diego,App GPA,3.577333333,0
San Diego,App GPA,3.9825,0
San Diego,App GPA,3.795972222,0
San Diego,App GPA,3.342857143,0
San Diego,App GPA,3.9005,0
San Diego,App GPA,3.745703125,0
San Diego,Adm GPA,4.040526316,1
San Diego,App GPA,3.574285714,0
San Diego,App GPA,3.664,0
San Diego,App GPA,3.868346457,0
San Diego,App GPA,3.808888889,0
San Diego,Adm GPA,3.918,1
