Campus,Measure Name,GPA,Results
Santa Cruz,Adm GPA,3.796973684,1
Santa Cruz,App GPA,3.984090909,0
Santa Cruz,App GPA,3.37375,0
Santa Cruz,App GPA,3.265945946,0
Santa Cruz,App GPA,3.451538462,0
Santa Cruz,App GPA,3.36472973,0
Santa Cruz,App GPA,3.394090909,0
Santa Cruz,Adm GPA,3.541578947,1
Santa Cruz,Adm GPA,3.591016949,1
Santa Cruz,Adm GPA,4.044,1
Santa Cruz,Adm GPA,3.616666667,1
Santa Cruz,Adm GPA,3.617272727,1
Santa Cruz,App GPA,3.12,0
Santa Cruz,Adm GPA,3.717941176,1
Santa Cruz,Adm GPA,3.538529412,1
Santa Cruz,Adm GPA,3.604242424,1
Santa Cruz,App GPA,3.303888889,0
Santa Cruz,Adm GPA,3.6205,1
Santa Cruz,App GPA,3.968,0
Santa Cruz,Adm GPA,3.724782609,1
Santa Cruz,Adm GPA,3.484482759,1
Santa Cruz,Enrl GPA,3.288181818,1
Santa Cruz,App GPA,3.376875,0
Santa Cruz,Adm GPA,3.781111111,1
Santa Cruz,App GPA,3.685,0
Santa Cruz,App GPA,3.992857143,0
Santa Cruz,App GPA,3.43125,0
Santa Cruz,App GPA,3.517058824,0
Santa Cruz,App GPA,3.390714286,0
Santa Cruz,Adm GPA,4.05,1
Santa Cruz,App GPA,3.481090909,0
Santa Cruz,Adm GPA,3.702307692,1
Santa Cruz,App GPA,3.578,0
Santa Cruz,App GPA,3.214,0
Santa Cruz,App GPA,3.385833333,0
Santa Cruz,Adm GPA,3.711097561,1
Santa Cruz,Adm GPA,3.954,1
Santa Cruz,App GPA,3.81,0
Santa Cruz,App GPA,3.378947368,0
Santa Cruz,App GPA,3.475176471,0
Santa Cruz,Adm GPA,3.706,1
Santa Cruz,App GPA,3.507692308,0
Santa Cruz,App GPA,3.664,0
Santa Cruz,App GPA,3.74375,0
Santa Cruz,App GPA,3.475882353,0
Santa Cruz,Adm GPA,3.786,1
Santa Cruz,Adm GPA,4.226666667,1
Santa Cruz,App GPA,3.466666667,0
Santa Cruz,Adm GPA,3.622307692,1
Santa Cruz,Adm GPA,3.701034483,1
Santa Cruz,App GPA,3.398125,0
Santa Cruz,App GPA,3.412,0
Santa Cruz,Adm GPA,3.791666667,1
Santa Cruz,App GPA,3.32,0
Santa Cruz,App GPA,3.432,0
Santa Cruz,App GPA,3.557,0
Santa Cruz,Adm GPA,3.783857143,1
Santa Cruz,Enrl GPA,3.4025,1
Santa Cruz,App GPA,3.611428571,0
Santa Cruz,Adm GPA,3.939,1
Santa Cruz,App GPA,3.751666667,0
Santa Cruz,Adm GPA,3.978421053,1
Santa Cruz,Adm GPA,3.726666667,1
Santa Cruz,Enrl GPA,3.582222222,1
Santa Cruz,App GPA,3.79,0
Santa Cruz,App GPA,3.424230769,0
Santa Cruz,App GPA,3.37625,0
Santa Cruz,Enrl GPA,3.698,1
Santa Cruz,App GPA,3.4425,0
Santa Cruz,App GPA,3.772941176,0
Santa Cruz,App GPA,3.446666667,0
Santa Cruz,App GPA,3.387777778,0
Santa Cruz,Enrl GPA,3.295714286,1
Santa Cruz,Adm GPA,3.637333333,1
Santa Cruz,App GPA,3.311666667,0
Santa Cruz,App GPA,3.736666667,0
Santa Cruz,App GPA,3.721,0
Santa Cruz,Enrl GPA,3.92,1
Santa Cruz,App GPA,3.57125,0
Santa Cruz,App GPA,3.199,0
Santa Cruz,App GPA,3.679230769,0
Santa Cruz,Adm GPA,3.578,1
Santa Cruz,App GPA,3.421190476,0
Santa Cruz,App GPA,3.665217391,0
Santa Cruz,App GPA,4.14625,0
Santa Cruz,Adm GPA,3.615,1
Santa Cruz,App GPA,3.409459459,0
Santa Cruz,Enrl GPA,3.462666667,1
Santa Cruz,App GPA,3.538653846,0
Santa Cruz,Adm GPA,3.92,1
Santa Cruz,Enrl GPA,3.401111111,1
Santa Cruz,App GPA,3.278,0
Santa Cruz,App GPA,3.613076923,0
Santa Cruz,Enrl GPA,3.186,1
Santa Cruz,Adm GPA,3.845,1
Santa Cruz,Adm GPA,3.56375,1
Santa Cruz,App GPA,3.503043478,0
Santa Cruz,App GPA,3.237777778,0
Santa Cruz,App GPA,3.600272727,0
Santa Cruz,Adm GPA,3.798571429,1
Santa Cruz,App GPA,3.26225,0
Santa Cruz,Enrl GPA,3.746,1
Santa Cruz,Adm GPA,3.801304348,1
Santa Cruz,App GPA,3.858333333,0
Santa Cruz,App GPA,3.487,0
Santa Cruz,Adm GPA,3.5825,1
Santa Cruz,App GPA,3.438095238,0
Santa Cruz,Enrl GPA,3.598181818,1
Santa Cruz,App GPA,3.195,0
Santa Cruz,Adm GPA,3.518571429,1
Santa Cruz,App GPA,3.165,0
Santa Cruz,Adm GPA,3.699411765,1
Santa Cruz,Adm GPA,3.493333333,1
Santa Cruz,App GPA,3.448571429,0
Santa Cruz,App GPA,3.72125,0
Santa Cruz,Adm GPA,3.70962963,1
Santa Cruz,App GPA,3.585517241,0
Santa Cruz,App GPA,3.799487179,0
Santa Cruz,Enrl GPA,3.251666667,1
Santa Cruz,Enrl GPA,3.338125,1
Santa Cruz,Adm GPA,3.618571429,1
Santa Cruz,Adm GPA,3.687142857,1
Santa Cruz,App GPA,3.536363636,0
Santa Cruz,Adm GPA,3.415,1
Santa Cruz,App GPA,3.368518519,0
Santa Cruz,App GPA,3.708888889,0
Santa Cruz,Adm GPA,3.707272727,1
Santa Cruz,App GPA,3.483243243,0
Santa Cruz,App GPA,3.147142857,0
Santa Cruz,Enrl GPA,3.613076923,1
Santa Cruz,App GPA,3.786923077,0
Santa Cruz,App GPA,3.79047619,0
Santa Cruz,App GPA,3.592857143,0
Santa Cruz,App GPA,3.571509434,0
Santa Cruz,App GPA,3.717272727,0
Santa Cruz,Adm GPA,3.8956,1
Santa Cruz,Adm GPA,3.588888889,1
Santa Cruz,App GPA,3.772,0
Santa Cruz,App GPA,3.098888889,0
Santa Cruz,Adm GPA,3.628,1
Santa Cruz,App GPA,3.414444444,0
Santa Cruz,Adm GPA,3.587407407,1
Santa Cruz,Adm GPA,3.89625,1
Santa Cruz,App GPA,3.426,0
Santa Cruz,Enrl GPA,3.487777778,1
Santa Cruz,Adm GPA,3.615882353,1
Santa Cruz,App GPA,3.6175,0
Santa Cruz,Adm GPA,3.573571429,1
Santa Cruz,App GPA,3.561538462,0
Santa Cruz,App GPA,3.608514851,0
Santa Cruz,App GPA,3.694444444,0
Santa Cruz,App GPA,3.552777778,0
Santa Cruz,Adm GPA,3.7312,1
Santa Cruz,Adm GPA,3.976666667,1
Santa Cruz,Adm GPA,3.645,1
Santa Cruz,Adm GPA,3.683103448,1
Santa Cruz,Adm GPA,3.64,1
Santa Cruz,Adm GPA,3.783333333,1
Santa Cruz,App GPA,3.33,0
Santa Cruz,App GPA,3.484,0
Santa Cruz,App GPA,3.644193548,0
Santa Cruz,Enrl GPA,3.294,1
Santa Cruz,Adm GPA,3.888333333,1
Santa Cruz,Enrl GPA,3.773,1
Santa Cruz,Enrl GPA,3.487857143,1
Santa Cruz,App GPA,3.552272727,0
Santa Cruz,Adm GPA,3.791666667,1
Santa Cruz,App GPA,3.22,0
Santa Cruz,Adm GPA,3.527954545,1
Santa Cruz,App GPA,3.405,0
Santa Cruz,Adm GPA,3.8155,1
Santa Cruz,App GPA,3.419,0
Santa Cruz,Adm GPA,3.27875,1
Santa Cruz,Adm GPA,3.46125,1
Santa Cruz,Adm GPA,3.521,1
Santa Cruz,App GPA,3.6,0
Santa Cruz,Adm GPA,3.604444444,1
Santa Cruz,Adm GPA,3.767272727,1
Santa Cruz,Enrl GPA,3.726666667,1
Santa Cruz,Adm GPA,3.624285714,1
Santa Cruz,App GPA,3.698,0
Santa Cruz,Adm GPA,3.435454545,1
Santa Cruz,App GPA,3.408214286,0
Santa Cruz,Adm GPA,3.688571429,1
Santa Cruz,App GPA,3.833962264,0
Santa Cruz,Adm GPA,3.73625,1
Santa Cruz,Adm GPA,3.591818182,1
Santa Cruz,Adm GPA,3.917142857,1
Santa Cruz,Enrl GPA,3.666666667,1
Santa Cruz,App GPA,3.364186047,0
Santa Cruz,App GPA,3.496363636,0
Santa Cruz,App GPA,3.648,0
Santa Cruz,App GPA,3.352264151,0
Santa Cruz,Adm GPA,3.814285714,1
Santa Cruz,App GPA,3.393684211,0
Santa Cruz,App GPA,3.43,0
Santa Cruz,Adm GPA,3.734285714,1
Santa Cruz,App GPA,3.274705882,0
Santa Cruz,Adm GPA,3.609411765,1
